name,address,coords,main_dish,price,meal_type,cuisine_suggestion,calo_estimate(kcal)
Bánh flan,"347/22 Minh Phụng, P. 2, Quận 11","10.758077082567473, 106.64313210337109",Flan,15000,Desserts,Western,180
Bánh cuốn Quảng Đông,"669 Nguyễn Trãi, Chợ Lớn, Hồ Chí Minh, Việt Nam","10.75325930685294, 106.66223608802997",Bánh cuốn,45000,Full meal,Chinese,380
Hủ tiếu xí quách Ngân Phát,"16/1 Lữ Gia, Quận 11","10.77132362750918, 106.6565190167261",Hủ tiếu,50000,Full meal,Vietnamese,520
Xủi cảo Hà Tôn Quyền ,"162 Hà Tôn Quyền, Quận 11","10.758181626657588, 106.65280431534012",Xủi Cảo,55000,Snack,Chinese,350
Bánh Cuốn Cô Loan,"357B Lê Đại Hành, P. 11, Quận 11","10.76654, 106.64952",Bánh cuốn,40000,Full meal,Vietnamese,380
Há Cảo Chi Lăng,"340 Lãnh Binh Thăng, P. 11, Quận 11","10.76551, 106.64724",Há cảo  ,20000,Snack,Vietnamese,300
Bún thịt nướng Kiều Bảo,"66 Đ. Lữ Gia, Phú Thọ, Hồ Chí Minh, Việt Nam","10.771358697023196, 106.6534980274378",Bún thịt nướng,30000,Full meal,Vietnamese,500
Lẩu cá dân ích,99 Châu Văn Liêm,"10.753300834057283, 106.65853995933728",Lẩu cá,350000,Full meal,Vietnamese,600
Highlands Coffee Trần Hưng Đạo,"465 Trần Hưng Đạo, Quận 5","10.752187911191811, 106.65989767986441",Cà phê phin sữa đá,40000,Drinks,Vietnamese,160
Dimsum nổi tiếng,"38B Học Lạc, P.14","10.752540032125808, 106.65447339971543",Dimsum,45000,Snack,Chinese,420
Osaka Ramen,64 Nguyễn Thời Trung,"10.75222840744667, 106.66989352420926",Mì Ramen,55000,Full meal,Japanese,520
Miì trộn khô Hồng kong,"684/24 Trần Hưng Đạo, P2, Q5","10.735735499596839, 106.69297220118595",Mì trộn khô,55000,Full meal,Chinese,550
Quán Ù Pa,"9A Nguyễn Án, P. 11","10.752708367145514, 106.6605877434123",Ăn vặt,20000,Snack,Vietnamese,450
Quán lẩu bò kho xương ống,207/6 Trần Bình Trọng ,"10.759170023536186, 106.67995116990855",Lẩu bò kho,180000,Full meal,Vietnamese,550
Hủ tiếu heo gà,"160 Trần Bình Trọng, P.3","10.758859301981486, 106.6805922247237",Hủ tiếu,100000,Full meal,Vietnamese,520
Giò Heo Phá Lấu Kha Thi,"37 Đường Số 1, P. An Lạc, Quận Bình Tân","10.7412746065169, 106.60502445342856",Giò heo phá lấu,60000,Full meal,Vietnamese,650
Sunset & Chill Sky Bar,"1143 Bình Quới, Hồ Chí Minh 820000, Việt Nam","10.830450457144762, 106.73717950925308",Cafe,45000,Drinks,Vietnamese,90
Mì Vịt Tiềm Hữu Ký,"84 Nguyễn Văn Lạc, Thạnh Mỹ Tây, Hồ Chí Minh, Việt Nam","10.792682287691969, 106.70884353808798",Mì,75000,Full meal,Vietnamese,500
Trang Minh - Bún Chả Hà Nội,"169 Bùi Đình Tuý, Bình Thạnh, Hồ Chí Minh, Việt Nam","10.807794378349186, 106.70397144041532",Bún chả ,40000,Full meal,Vietnamese,520
BamBoo Quán,"Hẻm 47/24/33 Hẻm 47/52 Bùi Đình Túy, Bình Thạnh, Hồ Chí Minh 70000, Việt Nam","10.806948476165772, 106.7058901092529",Bánh mì chảo,40000,Snack,Vietnamese,650
Bánh mì Cô Lành,"6 Đ. Hồ Xuân Hương, Bình Thạnh, Hồ Chí Minh, Việt Nam","10.809085755781467, 106.69609773411126",Bánh mì thịt bò nướng,35000,Snack,Vietnamese,520
Ốc Singapore,"295 Nguyễn Gia Trí, Khu dân cư Cầu Kinh, Thạnh Mỹ Tây, Hồ Chí Minh, Việt Nam","10.81097487291, 106.7176769687702",Ốc,10000,Snack,Vietnamese,400
Bò lá lốt mỡ chài,"129/12B Đ. Hoàng Văn Thụ, Phú Nhuận, Hồ Chí Minh 70000, Việt Nam","10.798958938000501, 106.67560395342912",bò lá lốt,80000,Snack,Vietnamese,480
Nhi Nhi Quán,"164 Đường số 20, An Nhơn, Hồ Chí Minh 70000, Việt Nam","10.835638415386029, 106.68805830925302","Bánh tráng, cá viên",25000,Snack,Vietnamese,520
Thèm Gì Cũng Có,"327 Đ. Phan Đình Phùng, Cầu Kiệu, Hồ Chí Minh 700000, Việt Nam","10.798462844162547, 106.68058991109959",Bánh tráng tóp mỡ,55000,Snack,Vietnamese,450
